"","source","listed_count","verified","user_created_at","statuses_count","followers_count","friends_count"
"243","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,FALSE,"Sun Dec 25 13:57:27 +0000 2016",18508,115,65
"244","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,FALSE,"Mon Jan 05 13:38:18 +0000 2015",2654,268,539
"245","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",40,FALSE,"Wed Apr 29 18:44:57 +0000 2009",32527,1953,4250
"246","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3,FALSE,"Tue Nov 29 19:23:58 +0000 2016",2251,1128,1998
"247","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",234,FALSE,"Mon Jan 07 17:17:12 +0000 2013",154147,4774,4513
"248","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1,FALSE,"Tue May 02 08:47:18 +0000 2017",854,87,204
"249","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",49,FALSE,"Sun Jul 19 18:39:10 +0000 2009",269765,1184,1925
"250","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",32,FALSE,"Wed Dec 02 04:26:59 +0000 2015",33442,1932,3419
"251","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",16,FALSE,"Thu Jul 07 20:25:24 +0000 2011",12168,1893,2396
"252","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",125,FALSE,"Sun Oct 03 06:22:56 +0000 2010",178625,3539,4993
